Coin,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
@109,Fear,3,1,1,108.60999999999999,36.203333333333326,0.0,2.05863,-2.05863,0,33.33333333333333,,,,-18.95433201362674
@109,Neutral,1,1,1,119.1,119.1,0.510213,0.041685,0.46852800000000006,1,100.0,100.0,0.510213,0.510213,3.93390428211587
@109,Greed,13,2,1,5430.19,417.70692307692303,5410.846174,1.899176,5408.946997999999,12,100.0,100.0,450.9038478333334,488.188751,996.0879818201572
@109,Extreme Greed,3,2,1,12.76,4.253333333333333,2.727753,0.34035,2.387403,1,66.66666666666666,100.0,2.727753,2.727753,187.10054858934168
@11,Fear,1,1,1,0.61,0.61,0.0,0.0,0.0,0,100.0,,,,0.0
@112,Greed,2,1,1,14.44,7.22,14.334509,0.004331,14.330178,1,100.0,100.0,14.334509,14.334509,992.3945983379501
@112,Extreme Greed,5,2,1,745.19,149.038,-66.44923299999999,5.895987,-72.34522,2,40.0,50.0,-33.224616499999996,-33.224616499999996,-97.0829184503281
@113,Greed,2,1,1,1.47,0.735,1.430513,0.00044,1.430073,1,100.0,100.0,1.430513,1.430513,972.8387755102041
@113,Extreme Greed,3,1,1,40.81,13.603333333333333,15.495707,1.450721,14.044986,1,33.33333333333333,100.0,15.495707,15.495707,344.1555011026709
@114,Greed,2,1,1,1.32,0.66,1.309077,0.000396,1.308681,1,100.0,100.0,1.309077,1.309077,991.4249999999998
@116,Greed,2,1,1,1.49,0.745,1.473232,0.000447,1.472785,1,100.0,100.0,1.473232,1.473232,988.4463087248322
@116,Extreme Greed,3,2,1,10.36,3.453333333333333,0.249717,5.7835659999999995,-5.533849,1,66.66666666666666,100.0,0.249717,0.249717,-534.1553088803089
@117,Greed,2,1,1,4.69,2.345,4.631689,0.001405,4.630284,1,100.0,100.0,4.631689,4.631689,987.2673773987206
@117,Extreme Greed,2,1,1,10.08,5.04,0.0,0.05365,-0.05365,0,0.0,,,,-5.322420634920635
@12,Greed,1,1,1,0.01,0.01,0.0,0.0,0.0,0,100.0,,,,0.0
@12,Extreme Greed,2,1,1,8.9,4.45,0.0,0.002989,-0.002989,0,100.0,,,,-0.33584269662921346
@123,Extreme Greed,163,1,1,400024.33,2454.136993865031,0.0,4.20183797,-4.20183797,0,0.0,,,,-0.010503956021874969
@124,Extreme Greed,8,1,1,1173.08,146.635,-128.603876,0.29957404,-128.90345004,5,75.0,0.0,-25.720775200000002,-26.467469,-109.88462000886555
@125,Greed,6,3,1,247.4,41.233333333333334,-104.37551400000001,0.082431,-104.457945,4,100.0,50.0,-26.093878500000002,-15.465833499999999,-422.2228981406629
@125,Extreme Greed,23,4,1,5484.01,238.43521739130435,474.640081,1.4044932700000001,473.23558773,10,52.17391304347826,70.0,47.4640081,37.350823500000004,86.29371349249911
@13,Extreme Fear,2,1,1,52.86,26.43,-0.12379,0.017757000000000002,-0.141547,1,100.0,0.0,-0.12379,-0.12379,-2.677771471812335
@13,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@135,Extreme Greed,1,1,1,15.56,15.56,-5981.36399,0.005226,-5981.369216,1,100.0,0.0,-5981.36399,-5981.36399,-384406.76195372746
@138,Fear,2,1,1,58.76,29.38,31.42038,0.019743,31.400637,2,100.0,100.0,15.71019,15.71019,534.3879680054458
@138,Neutral,2,1,1,50.78,25.39,19.530304,0.01706,19.513244,2,100.0,100.0,9.765152,9.765152,384.2702638834187
@14,Fear,17,2,1,849.28,49.957647058823525,0.0,343.66645,-343.66645,0,5.88235294117647,,,,-404.65623822532024
@142,Extreme Fear,81,4,1,116035.21,1432.5334567901236,1257.8761650000001,16.4286861669,1241.4474788331,48,61.72839506172839,93.75,26.205753437500004,6.294402,10.698885957401206
@142,Fear,250,6,1,1209801.1,4839.2044000000005,461.1217320000001,77.9989106408,383.12282135920003,114,48.4,48.24561403508772,4.044927473684211,-0.18933,0.3166824871949612
@142,Neutral,313,5,1,473670.89,1513.3255271565495,4615.868031,41.2127198968,4574.6553111032,88,28.434504792332266,96.5909090909091,52.45304580681818,5.9085015,9.657877247012582
@142,Greed,665,2,1,686844.07,1032.8482255639096,1115.493744,45.4926510383,1070.0010929617,87,13.082706766917292,100.0,12.821767172413795,5.585398,1.5578515411244651
@147,Greed,5,1,1,612.5600000000001,122.51200000000001,-350.632694,0.205813,-350.838507,5,100.0,0.0,-70.1265388,-83.745867,-572.7414571633799
@15,Fear,2,2,1,1.11,0.555,0.0,0.0,0.0,0,100.0,,,,0.0
@151,Fear,30,4,1,31896.13,1063.2043333333334,-44.712482,2.904043264,-47.616525263999996,12,46.666666666666664,66.66666666666666,-3.726040166666667,0.059264,-1.4928621517406655
@151,Neutral,3,1,1,1999.5900000000001,666.5300000000001,0.0,0.000227944,-0.000227944,0,0.0,,,,-0.00011399536905065537
@151,Greed,291,3,1,540375.62,1856.9608934707903,11628.555251,55.336076,11573.219175,289,100.0,100.0,40.237215401384084,29.032552,21.416989861607746
@152,Fear,88,1,1,59831.5,679.9034090909091,0.599998,5.743726,-5.143728,88,100.0,100.0,0.006818159090909091,0.004506,-0.08597023307120832
@153,Fear,28,1,1,57561.61,2055.7717857142857,0.577077,5.525893,-4.948816,28,100.0,100.0,0.020609892857142854,0.0080015,-0.08597424568214822
@153,Neutral,1,1,1,0.01,0.01,0.0,0.0,0.0,0,100.0,,,,0.0
@153,Greed,73,1,1,60351.3,826.7301369863014,34.63999,5.793662,28.846328,73,100.0,100.0,0.47452041095890407,0.542014,0.4779735979175262
@16,Extreme Fear,2,1,1,35.86,17.93,-0.060429,0.012048999999999999,-0.072478,1,100.0,0.0,-0.060429,-0.060429,-2.0211377579475736
@16,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@16,Greed,1,1,1,0.04,0.04,0.0,0.0,0.0,0,100.0,,,,0.0
@17,Greed,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@18,Greed,1,1,1,0.46,0.46,0.0,0.0,0.0,0,100.0,,,,0.0
@19,Greed,2,2,1,0.81,0.405,0.0,0.0,0.0,0,100.0,,,,0.0
@2,Greed,3,3,1,0.05,0.016666666666666666,0.0,0.0,0.0,0,100.0,,,,0.0
@2,Extreme Greed,2,1,1,999.8299999999999,499.91499999999996,-0.907946,131.04356700000002,-131.951513,1,50.0,0.0,-0.907946,-0.907946,-131.97394857125713
@20,Fear,14,1,1,406.46000000000004,29.032857142857146,0.0,413.909778,-413.909778,0,21.428571428571427,,,,-1018.32844068297
@20,Neutral,21,1,1,516.48,24.594285714285714,4.738087999999999,333.70511,-328.967022,2,57.14285714285714,100.0,2.369044,2.369044,-636.9404855947954
@20,Greed,4,1,1,165.0,41.25,0.0,66.86971,-66.86971,0,0.0,,,,-405.2709696969697
@21,Greed,1,1,1,0.94,0.94,0.0,0.0,0.0,0,100.0,,,,0.0
@23,Fear,9,1,1,1519.71,168.85666666666668,0.0,0.26896713,-0.26896713,0,0.0,,,,-0.1769858262431648
@23,Neutral,13,1,1,1154.41,88.80076923076923,0.0,0.42132299,-0.42132299,0,0.0,,,,-0.36496824351833407
@23,Greed,12,1,1,2544.72,212.05999999999997,0.0,0.41620751,-0.41620751,0,0.0,,,,-0.1635572911754535
@24,Greed,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@24,Extreme Greed,2,1,1,2.71,1.355,-0.002936,0.0009090000000000001,-0.003845,1,100.0,0.0,-0.002936,-0.002936,-1.418819188191882
@25,Greed,1,1,1,0.65,0.65,0.0,0.0,0.0,0,100.0,,,,0.0
@26,Extreme Fear,8,1,1,24.57,3.07125,-0.25801799999999997,0.008246,-0.266264,7,100.0,0.0,-0.03685971428571428,-0.037499,-10.836955636955636
@26,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@26,Greed,1,1,1,0.05,0.05,0.0,0.0,0.0,0,100.0,,,,0.0
@28,Fear,1,1,1,0.96,0.96,0.0,0.0,0.0,0,100.0,,,,0.0
@28,Neutral,1,1,1,0.78,0.78,0.0,0.0,0.0,0,100.0,,,,0.0
@29,Extreme Fear,4,1,1,23.7,5.925,-0.078374,0.007962,-0.086336,3,100.0,0.0,-0.026124666666666668,-0.022424,-3.6428691983122365
@29,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@29,Greed,1,1,1,0.03,0.03,0.0,0.0,0.0,0,100.0,,,,0.0
@3,Fear,11,1,1,400.89,36.444545454545455,0.0,4.403888,-4.403888,0,9.090909090909092,,,,-10.985277756990698
@3,Neutral,12,1,1,174.92,14.576666666666666,0.462514,0.017488,0.445026,2,100.0,100.0,0.231257,0.231257,2.544168762863023
@30,Fear,1,1,1,0.69,0.69,0.0,0.0,0.0,0,100.0,,,,0.0
@31,Greed,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@31,Extreme Greed,2,1,1,33.61,16.805,33.212273,0.011291,33.200982,1,100.0,100.0,33.212273,33.212273,987.8304671228802
@32,Greed,1,1,1,0.01,0.01,0.0,0.0,0.0,0,100.0,,,,0.0
@33,Greed,1,1,1,0.04,0.04,0.0,0.0,0.0,0,100.0,,,,0.0
@33,Extreme Greed,3,1,1,15.14,5.046666666666667,13.566929,0.005082,13.561847,2,100.0,100.0,6.7834645,6.7834645,895.7626816380448
@34,Greed,2,2,1,0.81,0.405,0.0,0.0,0.0,0,100.0,,,,0.0
@35,Extreme Fear,2,1,1,68.21000000000001,34.105000000000004,67.028127,0.022919,67.005208,2,100.0,100.0,33.5140635,33.5140635,982.3370180325463
@35,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@35,Greed,1,1,1,0.09,0.09,0.0,0.0,0.0,0,100.0,,,,0.0
@36,Greed,1,1,1,0.01,0.01,0.0,0.0,0.0,0,100.0,,,,0.0
@36,Extreme Greed,2,1,1,16.09,8.045,15.663073,0.005407,15.657666,1,100.0,100.0,15.663073,15.663073,973.1302672467372
@37,Fear,1,1,1,35.05,35.05,0.0,1.04364,-1.04364,0,0.0,,,,-29.775748930099855
@37,Greed,3,2,1,22.75,7.583333333333333,10.17704,0.54099,9.636050000000001,1,66.66666666666666,100.0,10.17704,10.17704,423.56263736263736
@37,Extreme Greed,9,2,1,1793.18,199.24222222222224,288.682161,25.490166000000002,263.191995,5,77.77777777777779,80.0,57.7364322,28.989845,146.77388494183518
@38,Extreme Fear,1,1,1,33.36,33.36,33.271993,0.011208,33.260785,1,100.0,100.0,33.271993,33.271993,997.0259292565947
@38,Fear,2,2,1,0.77,0.385,0.0,0.0,0.0,0,100.0,,,,0.0
@38,Neutral,6,1,1,504.54,84.09,0.0,23.85402,-23.85402,0,0.0,,,,-47.2787489594482
@39,Extreme Fear,1,1,1,12.57,12.57,12.238556,0.004224,12.234332,1,100.0,100.0,12.238556,12.238556,973.2961018297533
@39,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@4,Extreme Fear,80,1,1,9345.09,116.813625,-1104.856765,1.8579320000000001,-1106.714697,38,47.5,0.0,-29.07517802631579,-25.125781,-118.42739845202131
@4,Fear,240,1,1,34440.61,143.50254166666667,1630.965841,6.880972,1624.084869,71,52.916666666666664,100.0,22.971349873239436,5.092488,47.156100574292964
@4,Neutral,263,1,1,25146.9,95.61558935361218,-853.866594,5.889506,-859.7561,141,61.97718631178707,4.964539007092199,-6.05579144680851,-5.834581,-34.18934739470868
@4,Greed,262,1,1,15109.29,57.66904580152672,0.0,2.348688,-2.348688,0,19.46564885496183,,,,-0.15544661595614354
@4,Extreme Greed,40,2,1,3415.31,85.38275,231.793541,0.618509,231.175032,12,30.0,91.66666666666666,19.31612841666667,7.5741855,67.68786200959795
@40,Extreme Fear,1,1,1,17.58,17.58,16.748319,0.005904,16.742414999999998,1,100.0,100.0,16.748319,16.748319,952.3558020477815
@40,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@40,Extreme Greed,7,1,1,396.36,56.62285714285714,-4.598636,5.004352,-9.602988,3,42.857142857142854,33.33333333333333,-1.5328786666666667,-5.618301,-24.22794429306691
@41,Extreme Fear,1,1,1,37.23,37.23,36.73844,0.003574,36.734866,1,100.0,100.0,36.73844,36.73844,986.7006715014774
@41,Fear,2,2,1,0.34,0.17,0.0,0.0,0.0,0,100.0,,,,0.0
@41,Neutral,1,1,1,0.61,0.61,0.0,0.0,0.0,0,100.0,,,,0.0
@41,Greed,1,1,1,0.06,0.06,0.0,0.0,0.0,0,100.0,,,,0.0
@42,Neutral,1,1,1,0.74,0.74,0.0,0.0,0.0,0,100.0,,,,0.0
@44,Fear,1,1,1,0.65,0.65,0.0,0.0,0.0,0,100.0,,,,0.0
@44,Neutral,1,1,1,0.12,0.12,0.0,0.0,0.0,0,100.0,,,,0.0
@44,Greed,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@45,Fear,1,1,1,0.54,0.54,0.0,0.0,0.0,0,100.0,,,,0.0
@46,Fear,3,3,1,0.5700000000000001,0.19000000000000003,0.0,0.0,0.0,0,100.0,,,,0.0
@47,Extreme Fear,2,1,1,51.099999999999994,25.549999999999997,50.313458,0.017169,50.296289,2,100.0,100.0,25.156729,25.156729,984.2718003913897
@47,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@47,Greed,1,1,1,0.04,0.04,0.0,0.0,0.0,0,100.0,,,,0.0
@48,Fear,1,1,1,0.68,0.68,0.0,0.0,0.0,0,100.0,,,,0.0
@49,Extreme Fear,4,1,1,459.28,114.82,-40.712216999999995,0.160745,-40.872961999999994,3,100.0,0.0,-13.570738999999998,-6.007082,-88.99355948441037
@49,Fear,1,1,1,500.0,500.0,0.0,0.2136618,-0.2136618,0,0.0,,,,-0.4273236
@51,Extreme Fear,26,1,1,1738.75,66.875,0.0,0.72798394,-0.72798394,0,0.0,,,,-0.41868235226455786
@51,Fear,76,3,1,5663.22,74.51605263157894,-288.283113,1.93499142,-290.21810442,1,3.9473684210526314,0.0,-288.283113,-288.283113,-51.24612930806149
@51,Neutral,96,2,1,8379.15,87.28281249999999,0.0,2.65464159,-2.65464159,0,0.0,,,,-0.31681514115393566
@51,Greed,18,2,1,2484.79,138.0438888888889,-37.27303,0.43426368,-37.70729368,1,5.555555555555555,0.0,-37.27303,-37.27303,-15.175243654393329
@51,Extreme Greed,4,1,1,54.03,13.5075,-5.320433,0.0092319,-5.3296649,1,50.0,0.0,-5.320433,-5.320433,-98.64269665000926
@53,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@53,Greed,1,1,1,36.03,36.03,35.320328,0.010808,35.309520000000006,1,100.0,100.0,35.320328,35.320328,980.0033305578686
@53,Extreme Greed,2,1,1,33.74,16.87,32.544379,0.011335,32.533044,1,100.0,100.0,32.544379,32.544379,964.2277415530526
@59,Fear,14,1,1,6025.0,430.35714285714283,0.0,0.39776284,-0.39776284,0,0.0,,,,-0.06601872863070539
@59,Neutral,7,1,1,2520.79,360.11285714285714,0.0,0.19728721,-0.19728721,0,0.0,,,,-0.0782640402413529
@59,Greed,11,2,1,9224.24,838.5672727272727,1752.19606,1.9589413999999998,1750.2371186,5,54.54545454545454,100.0,350.439212,341.250441,189.7432328950678
@59,Extreme Greed,14,1,1,6852.5,489.4642857142857,804.909547,0.87515239,804.03439461,3,21.428571428571427,100.0,268.3031823333333,215.236113,117.33446108865378
@6,Greed,1,1,1,0.03,0.03,0.0,0.0,0.0,0,100.0,,,,0.0
@61,Fear,1,1,1,0.62,0.62,0.0,0.0,0.0,0,100.0,,,,0.0
@63,Greed,2,1,1,59.95,29.975,-20.663546,0.02052089,-20.68406689,1,50.0,0.0,-20.663546,-20.663546,-345.02196647206
@68,Extreme Greed,1,1,1,10.09,10.09,0.0,0.00314588,-0.00314588,0,0.0,,,,-0.3117819623389495
@7,Greed,1,1,1,0.03,0.03,0.0,0.0,0.0,0,100.0,,,,0.0
@74,Neutral,2,2,1,0.6,0.3,0.0,0.0,0.0,0,100.0,,,,0.0
@74,Extreme Greed,7,3,1,382.76,54.68,371.633249,0.413268,371.219981,5,85.71428571428571,100.0,74.3266498,19.447982,969.8505094576236
@78,Fear,3,1,1,1505.09,501.69666666666666,0.0,0.08497629,-0.08497629,0,0.0,,,,-0.05645927486063956
@78,Neutral,8,1,1,2531.97,316.49625,0.0,0.26270178,-0.26270178,0,0.0,,,,-0.10375390703681324
@78,Greed,4,1,1,2513.31,628.3275,0.0,0.13421427,-0.13421427,0,0.0,,,,-0.05340139895197966
@8,Extreme Fear,36,1,1,6273.47,174.26305555555555,51.56325,45.035881,6.527369000000003,5,13.88888888888889,100.0,10.31265,7.584737,1.0404718600710616
@8,Fear,132,1,1,24072.84,182.37,111.74482900000001,232.236194,-120.49136499999999,5,3.787878787878788,100.0,22.348965800000002,21.800128,-5.005282509251089
@8,Neutral,76,1,1,9710.82,127.77394736842105,0.0,155.7471,-155.7471,0,0.0,,,,-16.038511680784936
@8,Greed,28,2,1,4453.7,159.06071428571428,0.0,33.46868,-33.46868,0,3.571428571428571,,,,-7.514803421873948
@8,Extreme Greed,4,1,1,298.82,74.705,-0.58755,0.100397,-0.6879470000000001,2,100.0,0.0,-0.293775,-0.293775,-2.302212034000402
@83,Neutral,3,1,1,49.07,16.356666666666666,-1044.789706,0.016486,-1044.806192,3,100.0,0.0,-348.26323533333334,-137.763223,-21292.15797839821
@83,Greed,6,2,1,122.64,20.44,-42.843649,0.041054,-42.884703,5,100.0,0.0,-8.5687298,-7.510538,-349.6795743639922
@83,Extreme Greed,27,1,1,1254.7,46.470370370370375,0.0,0.32651022,-0.32651022,0,0.0,,,,-0.26022971228182035
@85,Fear,30,1,1,6047.58,201.58599999999998,0.0,0.38353413000000003,-0.38353413000000003,0,0.0,,,,-0.06341943884992013
@85,Neutral,10,1,1,2537.77,253.777,0.0,0.15061787999999998,-0.15061787999999998,0,0.0,,,,-0.05935048487451581
@85,Greed,27,2,1,13144.49,486.83296296296294,7537.895069,3.4076773399999998,7534.48739166,17,66.66666666666666,100.0,443.40559229411764,318.039693,573.2050000920538
@85,Extreme Greed,65,2,1,27304.66,420.07169230769233,18968.24494,8.33249544,18959.91244456,26,40.0,100.0,729.5478823076924,947.864133,694.38375883677
@86,Extreme Greed,1,1,1,10.17,10.17,0.0,0.00020994,-0.00020994,0,0.0,,,,-0.02064306784660767
@9,Neutral,1,1,1,0.65,0.65,0.0,0.0,0.0,0,100.0,,,,0.0
@9,Extreme Greed,2,1,1,241.67000000000002,120.83500000000001,-58.564889,1.8389963,-60.4038853,1,50.0,0.0,-58.564889,-58.564889,-249.94366408739188
@93,Greed,2,1,1,16.33,8.165,15.954796,0.004899,15.949897,1,100.0,100.0,15.954796,15.954796,976.7236374770363
@95,Extreme Greed,2,1,1,120.78,60.39,-29.438061,1.132768,-30.570829,1,50.0,0.0,-29.438061,-29.438061,-253.11168239774796
AAVE,Extreme Fear,14,2,1,11094.2,792.4428571428572,0.0,1.431737,-1.431737,0,0.0,,,,-0.12905274828288654
AAVE,Fear,144,4,1,113334.04,787.0419444444444,3163.387833,35.479545,3127.908288,54,37.5,98.14814814814815,58.58125616666666,3.531056,27.59901868847171
AAVE,Neutral,53,3,1,264877.75,4997.693396226415,-5627.986742,49.126867000000004,-5677.113609,24,45.28301886792453,12.5,-234.49944758333334,-29.428738000000003,-21.432957690859276
AAVE,Greed,142,4,1,157142.7,1106.6387323943663,478.609638,34.48557,444.124068,41,28.169014084507044,85.36585365853658,11.67340580487805,10.709244,2.8262468953378046
AAVE,Extreme Greed,232,5,1,553963.12,2387.772068965517,9470.997255,187.000427,9283.996828,110,47.41379310344828,89.0909090909091,86.09997504545454,19.412301,16.759232686825793
ACE,Extreme Greed,25,1,1,72261.42,2890.4568,2760.71491,-1.445217,2762.160127,23,92.0,100.0,120.03108304347826,131.6067,38.224548133706755
ADA,Extreme Fear,172,4,1,597725.75,3475.1497093023254,-31317.986797999998,51.332179,-31369.318977,94,54.65116279069767,1.0638297872340425,-333.1700723191489,-119.460208,-52.48112362065713
ADA,Fear,120,5,1,343798.47000000003,2864.98725,1700.115697,24.304279,1675.811418,63,52.5,87.3015873015873,26.985963444444444,3.48972,4.874400453265542
ADA,Neutral,13,2,1,5976.38,459.72153846153844,19.898500000000002,2.091728,17.806772000000002,5,38.46153846153847,100.0,3.9797000000000002,2.69592,2.9795247290165623
ADA,Greed,11,2,1,2451.76,222.88727272727274,18.95475,0.85811,18.09664,3,27.27272727272727,100.0,6.31825,5.5728,7.381081345645577
ADA,Extreme Greed,265,3,1,144884.04,546.7322264150944,1465.555881,42.992154,1422.563727,122,46.0377358490566,75.40983606557377,12.01275312295082,1.1870835,9.81863652476836
AI,Extreme Fear,5,1,1,2443.2799999999997,488.65599999999995,0.0,0.855145,-0.855145,0,0.0,,,,-0.3499987721423661
AI,Fear,20,1,1,7405.2699999999995,370.26349999999996,37.269836,2.036339,35.233497,15,75.0,100.0,2.4846557333333332,0.083684,4.757894985598095
AI,Neutral,3,1,1,159.78,53.26,0.0,0.055923,-0.055923,0,0.0,,,,-0.35
AI,Greed,17,3,1,5510.48,324.14588235294116,59.194616,1.838433,57.356183,10,58.82352941176471,100.0,5.9194616,5.374555,10.408563863765044
AI,Extreme Greed,6,1,1,972.28,162.04666666666665,-1.6382960000000002,0.340293,-1.9785890000000008,4,66.66666666666666,75.0,-0.40957400000000005,1.2275835000000002,-2.0349991771917564
AI16Z,Extreme Fear,18,2,1,34439.71,1913.3172222222222,1782.014616,3.499397,1778.5152190000001,9,44.44444444444444,100.0,198.001624,109.87812,51.64141100491265
AI16Z,Fear,39,2,1,24602.71,630.8387179487179,1957.792621,7.448814,1950.343807,18,46.15384615384615,88.88888888888889,108.76625672222222,44.941843500000004,79.27353559831417
AI16Z,Neutral,114,4,1,196653.58000000002,1725.031403508772,-1120.618594,29.75695,-1150.375544,80,70.17543859649122,47.5,-14.007732425,-6.867693,-5.849756429554956
AI16Z,Greed,134,3,1,156720.22999999998,1169.5539552238804,3114.182332,26.009395,3088.172937,81,60.447761194029844,97.53086419753086,38.446695456790124,6.5262,19.705005135584603
AI16Z,Extreme Greed,235,3,1,219184.05,932.6980851063829,2290.981693,39.995104,2250.986589,167,71.06382978723404,89.82035928143712,13.718453251497007,4.606575,10.269846683643268
AIXBT,Extreme Fear,18,1,1,41634.43,2313.023888888889,0.0,13.989153,-13.989153,0,0.0,,,,-0.33599962819233986
AIXBT,Fear,135,4,1,349424.08,2588.3265185185187,10367.247059,99.216159,10268.0309,85,62.96296296296296,90.58823529411765,121.96761245882352,49.079065,29.385584702691354
AIXBT,Neutral,176,5,1,349449.0,1985.5056818181818,21990.866694,78.095535,21912.771159,144,81.81818181818183,96.52777777777779,152.71435204166667,43.02384,62.706635758007614
AIXBT,Greed,320,6,1,472888.28,1477.775875,40092.549106,141.26876000000001,39951.280346,177,55.3125,97.17514124293785,226.5115768700565,19.060294,84.48354936180698
AIXBT,Extreme Greed,170,3,1,60254.39,354.43758823529413,1261.506036,20.986151,1240.519885,88,51.76470588235295,100.0,14.335295863636363,4.2549575,20.588041551827175
ALGO,Neutral,1,1,1,217.95,217.95,4.0068,0.076284,3.9305160000000003,1,100.0,100.0,4.0068,4.0068,18.03402615278734
ALGO,Greed,4,2,1,3442.37,860.5925,-0.2484,1.1628479999999999,-1.411248,1,25.0,0.0,-0.2484,-0.2484,-0.40996406545490466
ALGO,Extreme Greed,2,1,1,207.29,103.645,14.60512,0.072549,14.532571,2,100.0,100.0,7.30256,7.30256,70.10743885377974
ALT,Fear,57,1,1,96776.16,1697.8273684210526,1040.606145,33.871634,1006.734511,41,71.9298245614035,100.0,25.380637682926828,20.074803,10.402711897227581
ALT,Neutral,65,1,1,123160.59,1894.7783076923076,2323.99174,27.420784,2296.570956,49,75.38461538461539,100.0,47.428402857142856,12.91979,18.646962928644626
ALT,Greed,74,2,1,85801.99,1159.4863513513515,1797.45392,0.27177300000000004,1797.182147,52,70.27027027027027,100.0,34.56642153846154,33.69452,20.945693066093224
ALT,Extreme Greed,53,2,1,146770.86000000002,2769.2615094339626,708.6507389999999,-1.309779,709.960518,39,73.58490566037736,51.28205128205128,18.170531769230767,0.01848,4.837203502112067
ANIME,Extreme Fear,3,1,1,653.28,217.76,12.67558,0.228647,12.446933000000001,1,33.33333333333333,100.0,12.67558,12.67558,19.05298340680872
ANIME,Fear,9,1,1,2228.98,247.66444444444446,47.24989,0.780138,46.469752,5,55.55555555555556,80.0,9.449978,7.454718,20.8479896634335
ANIME,Neutral,10,1,1,3962.02,396.202,-78.931119,1.386702,-80.317821,4,40.0,25.0,-19.73277975,-12.353509500000001,-20.271937294612343
ANIME,Greed,4,1,1,3211.0699999999997,802.7674999999999,120.29581200000001,1.123872,119.17194,2,50.0,100.0,60.147906000000006,60.147906000000006,37.112844005269274
ANIME,Extreme Greed,634,5,1,580200.48,915.142712933754,21215.967868,150.462063,21065.505805,252,39.74763406940063,82.14285714285714,84.19034868253968,6.24822,36.30728779300562
APE,Extreme Fear,10,1,1,3102.63,310.26300000000003,7.764197,1.085912,6.678285,3,30.0,100.0,2.5880656666666666,0.806949,2.15245936511927
